"e1b3","<X1e>武器屋<X04>
いらっしゃいませ。
うちの銀製品は 評判いいですよ。
特におすすめは 銀の杖ですね。

<RET_IL>"
"e20e","また来てくださいね。"
"e25c","<X1e>道具屋<X04>
いらっしゃいませ。
ここは道具の店です
どんな ご用ですか？<RETN>"
"e29f","また来てくださいね。"
"e2c0","おや？これ以上持てないようですね。

<RET_IL>"
"e2e4","どれを買ってくれますか？
<RETN>"
"e2fe","<X0e>だね。
どうも ありがとう。

<RET_IL>"
"e323","どれを売ってくれますか？
<RETN>"
"e33d"," Gold になるけど
それでも よろしいですか？
<RETN>"
"e369","それは残念です･･･ ･･･。

<RETN>"
"e382","どうも ありがとうございます。
<RETN>"
"e442","<X1e>兵士<X04>
ここは リストン伯爵さまの
お館への 入口だ。"
"e475","<X1e>兵士<X04>
おれは 本当は漁師なんだ。
リストンさまが むりやり 門番に
したんだ。"
"e4c0","<X1e>兵士<X04>
<IF0112><JUMPe4fd>お前たち あのバケモノの
手下では ないだろうな？<END>
<LOCe4fd>リストン伯爵さまは
兵士たちを連れて 今まで取り立てた
税や品物を返しに 行かれました。"
"e552","<X1e>兵士<X04>
<IF0112><JUMPe5f1>おれたちは あのバケモノどもが
この町に 入らないように 門番を
しているんだ。

一番 いやな 仕事だよ。
こんなことなら 兵士にならなければ
良かったな。<END>
<LOCe5f1>リストン伯爵が、みんなに税を
返すんだって言って出ていったんだ。

しかし、あの 欲ばりが
なんで急に返す気になったんだろう？"
"e66a","<X1e>女<X04>
私の妹は ヨルドの港の 漁師と
結婚したの。

でも私は 漁師の お嫁さんなんかにはなりたくないわ。
だって 私 魚が 嫌いなんだもの。"
"e6ec","<X1e>男<X04>
<IF0112><JUMPe7c3>あんたたち この国の人じゃないね？
大きな声じゃ 言えないけど
この国は 税がすごく重いんだ。

この家の中を 見渡してみてくれよ。

何もないだろ？
家にあったものは リストンさまが
全部 持っていって しまったんだ。<END>
<LOCe7c3>なんだか わからないんだけど
リストンさまの 兵士が来たんだ。

兵士たちが 言うには これからは
税を軽くしてくれるんだって。
どうしたんだろうな？"
"e850","<X1e>老人<X04>
<IF0112><JUMPe8eb>この町で ベッドが あるのは
わしの家だけじゃ。
<PAGE>
たぶん 来年の今ごろは このベッドもなくなっている ことじゃろう。
わしは 腰が 悪いのじゃが ･ ･ ･<END>
<LOCe8eb><IF0401><JUMPe975>おお、あなたがたの おかげで 腰を
治す 道具を 返してもらえましての。

このように 歩き回ることが
できるように なりました。

<IF0408><JUMPe9a9><IF0409><JUMPe9a9><LOCe975>疲れたら いつでも いらしてください。歓迎しますよ。
<END>
<LOCe9a9><SET0400><SET0401>どうぞ ゆっくりと お休みください。この家に ベッドが あるのも
あなたがたの おかげですから。"
"ea0a","<X1e>武器屋<X04>
いらっしゃいませ。
ここは 武器と防具の店ですが ･ ･ ･

うちの商品は リストンさまが
兵士のためだと 言って
全部 持っていってしまいました。"
"ea9a","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが ･ ･ ･

今は 商品が 無いんです。
税が 高くて高くて ･ ･ ･"
"eb03","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。"
