e103,<X08>どの 呪文が 欲しいのじゃ？<RETN>
e11f,誰の 呪文の書に 書き込むのじゃな？<RET_IL>
e142,どこに 書き込むのじゃな？<RETN>
e15c,どれどれ、書き込むとしようか。<X0a>
e191,"また、必要になったら
いつでも 来るがよい。"
e214,"<X1e>リストン<X04>
お おっ お前たち 早く出ていけ !!
おいっ 兵士 何をしているのだ？
早く こいつらを 外に連れていけ。"
e280,"<CALLe455>これは エリオンさま リストンは
発狂寸前です。いや もしかすると
もう発狂してるのかも しれません。

兵士の服装を している者だけは
わかるようなのですが
その他の者は 誰を見ても 暗殺者だと思っているようなのです。"
e352,"<CALLe455>あ !! 私は兵士ですよ !!
決してリストンを ねらう者などでは
ないですよ !!"
e39d,"<CALLe455>なんとか ここを抜け出して
家に帰りたいと思っているのですが
なかなか そうも いかなくて ･ ･ ･。"
e3fe,"<X1e>賢者<X04>
わしは リストンさまに呼ばれて
来ておるのじゃ。
あなたがたにも 呪文を授けよう。

<RET_IL>"
e455,<X1e>兵士<X04><RETN>
