"e1dd","<X1e>道具屋<X04>
いらっしぇーまし、
ここは道具屋ですけんど？<RETN>","<X1e>Tool merchant<X04>
How ya doin'?
This yere's a tool shop.<RETN><LOC0001>King Flart<RET_IL>"
"e212","あんりがとう ごぜーました。","Thankees muchly!<END>
<LOC0002>Prince Aerion<RET_IL>"
"e239","これ以上持てないようですけんど。

<RET_IL>","Ya cain't carry na more!

<RET_IL>"
"e25b","どれを買うだか？
<RETN>","Whatcha buyin'?
<RETN>"
"e26d","<X0e>だね。
あんりがとう。

<RET_IL>","That thar <X0e>?
Thankees!

<RET_IL>"
"e28d","どれを売るだ？
<RETN>","Whatcha sellin'?
<RETN>"
"e29d"," Gold になるけんど
それでも ええか？
<RETN>","golds.
How's about it?
<RETN>"
"e2c3","そんか しかたあんめぇ。

<RETN>","Welp, that's too bad, then.

<RETN>"
"e2dc","あんりがとう。
<RETN>","Thankees!
<RETN>"
"e3fb","<X1e>海賊<X04>
<IF0408><JUMPe450><IF0409><JUMPe450>やあ 客人 元気そうだな？
疲れたら 遠慮せずに
いつでも来てくれよ。<END>
<LOCe450><SET0400>さあ ゆっくり休んでくんな。","<X1e>Pirate<X04>
<IF0408><JUMPe450><IF0409><JUMPe450>Ahoy, mates! Ya look well!
When ya get tired, don't
hesitate to come back here.<END>
<LOCe450><SET0400>Okay, sleep well!"
"e46f","<X1e>海賊<X04>
よう、兄弟。元気か？

この人たちの 世話をしてくれ。
船長の 大事な お客人だから
気をつけろよ。

<ASMe52e>ここが スエルのアジトだ。
こいつが いろいろと 世話をするから疲れたときには 寄ってくれ。","<X1e>Pirate<X04>
How's it goin', bro?

Take good care o' these people.
Best mates o' the cap'n, so
don't let nothin' happen to 'em!

<ASMe52e>This here's our hideout in Suil.
My bro here'll keep an eye on ya,
so come back when ya get tired."
