"e0a6","<X1e>道具屋<X04>
いらっしゃいませ。
ここは道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool Merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e0eb","また来てくださいね。","Come again!"
"e10b","おや？これ以上持てないようですね。

<RET_IL>","You can't carry any more.

<RET_IL>"
"e12f","どれを 買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e14a","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e16f","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e18a"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e1b6","それは ざんねんです･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e1d4","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e295","<X1e>老人<X04>
あなたが エリオンさまでしたか
どこかで 見たことが あると
思っていました。","<X1e>Old man<X04>
So you are Prince Aerion?
I thought I recognized you
from somewhere."
"e2e6","<X1e>村長<X04>
ありがとうございました。","<X1e>Mayor<X04>
Thank you for everything."
"e306","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
