"e0d4","<X1e>道具屋<X04>
これは 王子さま いらっしゃいませ。ここは道具屋ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Your Highness! Welcome!
This is a tool shop.
What would you like?"
"e126","また来てくださいね。","Come again!"
"e156","<X1e>武器屋<X04>
いらっしゃいませ セリオスさま。
ここは武器と防具の店ですが<RETN>","<X1e>Weapon merchant<X04>
Welcome, Prince Selios!
My shop sells weapons and armor.<RETN>"
"e19a","また来てくださいね。","Come again!"
"e1bb","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e1df","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e1f9","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e21e","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e239"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e265","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e27e","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e302","<X1e>神父<X04>
何か お困りのことが
ございましたら なんなりと
私に 話してくださいませ。","<X1e>Priest<X04>
No matter what may trouble you,
you may always speak with me."
"e351","<X1e>男<X04>
いや〜、これは セリオス王子さま。

<CH0>
まっ まずい。
この人と 話していたら 日が
くれちゃうよ。

それじゃ また。

<X1e>男<X04>
えっ!? もう 行ってしまうんですか？せっかく いい話相手が 来てくれたと思ったのに ･ ･ ･","<X1e>Man<X04>
Hey! Your Highness!

<CH0>
O-oh no...
If he gets to talking, we'll be
here all day.

We'll talk to you later!

<X1e>Man<X04>
What? You're leaving already?
But I thought you were such a goodlistener..."
"e41d","<X1e>男<X04>
やれやれ、ようやく
新しい鉱山を 掘りはじめたのに
まだ 人手が足りないんだもんなあ。

もっと たくさん人を 集めなきゃ。","<X1e>Man<X04>
Well, we finally started digging
the new mine, but we still don't
have enough manpower.

We'll have to get some more folks
out here."
"e496","<X1e>老人<X04>
王子さまの おかげで 新しい鉱山を
掘りはじめることが できるように
なりました。","<X1e>Old man<X04>
It's because of your Highness thatwe can start digging our new mine."
"e4eb","<X1e>ピート<X04>
人手が足りなくて 大変なんだ。
もっと たくさん人が 来ないかな。","<X1e>Pete<X04>
It's rough with so few workers
here. I wonder if anyone else
will come."
"e533","<X1e>男<X04>
ふぅ ･ ･ ･ 疲れたなぁ ･ ･ ･<WAIT>
鉱山を掘るのに 人手が足りない
もんだから もう クタクタだよ。","<X1e>男<X04>
Whew... I'm exhausted!<WAIT>
It's so rough digging a mine when
we're understaffed."
"e591","<CH0>
仕事の じゃまになるから
やめておこう。","<CH0>
We should probably stay out of
the way of their work."
