"e143","<X1e>フラート<X04>
<IF0135><JUMPe653><SET0135>エリオン、
そなたの おかげで 国は救われた。

それから こんな恐ろしい物は
そなたに 預けておこう。
わしは もう こんな物は見たくもない。

<ASMe6fa><X0e><X1c>をもらいました。<X0c0301><X04>

<CH1>
そうですか。では これでしたら
持っていても 平気でしょう。

<ASMe6ff><X0e><X1c>を渡しました。<X0c0301><X04>

<X1e>フラート<X04>
<CALLe657>

<X1e>フラート<X04>
な、なんだと エリオン。
では お前は このわしを おいて
行ってしまうと いうのか。

下々の者はみな わしを憎んでおる。
今 そなたに 出ていかれては
とても 国を治めることは できぬ。

お、治めるどころか 一部の者は
このわしの 命さえ ねらっていると
いうでは ないか !!

た、頼む。
なんとか この国を 治めてくれ。

<CH1>
兄上 そうは まいりません。兄上は
国民を捨てようと なされたのです。
今は その報いを 受けねばなりません。

国民の信頼を 回復するためには、
どうすれば 良いのか、よくお考えに
なってください。
<PAGE>
私が話をし たとえ人々が納得した
としても それは その場しのぎでしかありません。

人々の不満や望みは 言葉や抑圧では
決して 満たされることは ないから
です。

<X1e>フラート<X04>
どうしても行ってしまうのか ･ ･ ･。して、どこへ向かうつもりなのじゃ？

<CH1>
となりのソルディス王国へ 行こうと
思っています。

<X1e>フラート<X04>
ソルディスか ･ ･ ･。 !?<WAIT>
しかし、国境の洞窟はどうする、
ふさがっておるぞ。

<CH1>
そうか !!
そういえば 兄上が 行かれた時には
落盤で 通れなかったのでしたね。

<X1e>フラート<X04>
エリオン しかたあるまい。
あきらめて わしを手伝ってくれ。<END>
<LOCe653><CALLe657>","<X1e>Flart<X04>
<IF0135><JUMPe653><SET0135>Aerion.
Because of you, the kingdom is
saved.

I'll let you hold on to scary
things like this from now on.
I can't even bear to look at it!

<ASMe6fa><X1c>Received the <X04><X0e><X1c>.<X0c0301><X04>

<CH1>
I see. Then it should be safe
for you to hold on to this.

<ASMe6ff><X1c>Handed over the <X04><X0e><X1c>.<X0c0301><X04>

<X1e>Flart<X04>
<CALLe657>

<X1e>Flart<X04>
W-What do you mean, Aerion?
You're just going to go off
and leave me here?

All the commoners hate me! If you
go off and leave now, how am I
ever going to rule this kingdom?

Forget ruling! Some of them are
probably even after my head!

P-Please!
Can't you rule the kingdom for
me, somehow?

<CH1>
That is not the way of things, my
brother. You abandoned your own
people. This is the consequence.

Think hard on what you might do
to restore the people's trust
in you.
<PAGE>
No matter what I might say to
reassure them, it would merely
postpone the issue.

You can never address the people'swishes or complaints by simply
telling them what to think.

<X1e>Flart<X04>
So I can't talk you out of
leaving...
But where do you plan to go?

<CH1>
To our neighboring kingdom of
Soldythe.

<X1e>Flart<X04>
Soldythe... !!<WAIT>
But what about the Border Cave?
It's blocked off!

<CH1>
That's right! You weren't able 
to pass through there because of
the cave-in.

<X1e>Flart<X04>
It's hopeless, Aerion. Just
forget it and help me here!<END>
<LOCe653><CALLe657>"
"e657","これからは 兄弟３人 力を 合わせて
この ラヌーラ王国を
もっと住みやすい 良い国にしよう。

<CH1>
兄上、残念ですが 私には まだ
やらなくては ならないことが
残っています。<RET_IL>","From now on, we three brothers canwork together and make Lanoura a
nice, comfortable kingdom.

<CH1>
I'm sorry, brother. I still have
things I need to do.<RET_IL>"
"e70e","<X1e>パウエル<X04>
<CALLedda>
私からも お願い申し上げます。
どうか お城にお戻りくださいませ。","<X1e>Powell<X04>
<CALLedda>, I make the same
request. Please return to the
castle."
"e77d","<CALLedda>、内乱が 起きます前に
戻ってきてくださいませ。","<CALLedda>, please come back
before civil war breaks out."
"e7af","もし 内乱が起こったら
私どもには フラートさまを お守り
するのが せいいっぱいです。

はたして ジェルマンさまのほうまで
手が まわるか どうか。","If there is an insurrection, I
will lay down my life to protect
King Flart.

But I don't know if I could do thesame for Prince Jelman."
"e83b","<CALLedda>、国民は 新しい王を
求めております。一日も早く
お戻りに なってくださいませ。","The people want a new king,
<CALLedda>. Please return as
soon as you can."
"e88b","<CALLedda>が 王位を継がれる時
初めて このラヌーラは 真の平和を
迎えることと なりましょう。

私は その時が来るのを 心から
お待ちいたします。","True peace may come to Lanoura
when your Highness takes the
throne.

I await that day."
"e90f","一応 国は平和になりましたが
側近のパウエルさまの 気苦労は
絶えることが ないでしょう。

王さまと国民の間に立って
互いに 気を配らなくては
ならないのですから。","The kingdom may be at peace for
now, but Chancellor Powell's
troubles are only beginning.

He's in between His Majesty and
the people, trying to keep an eye
on both sides."
"e9ab","王さまに 早く 国民の納得のいく
処置をしていただかねば この国は
滅びますぞ。","If His Majesty can't do something
to reassure the people, this
kingdom will be destroyed."
"e9f7","<CALLedda>、どうか ご無事な
お姿で お戻りに なってください。","Please come back safely,
<CALLedda>."
